ID,Data_Pub,Link,Titulo,Aba,Views,Local,Status,Data_Extracao
Re-DZMjEYIY,31/05/2026,https://www.youtube.com/watch?v=Re-DZMjEYIY,Avanços terapêuticos no sarcoma de células claras | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
8egp8EVLrvo,31/05/2026,https://www.youtube.com/watch?v=8egp8EVLrvo,Análise final do KEYNOTE-522 confirma benefício a longo prazo | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
ZDu7XjbcnS0,31/05/2026,https://www.youtube.com/watch?v=ZDu7XjbcnS0,Novos alvos terapêuticos no GIST avançado | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
-Oi6Ftvq_8c,31/05/2026,https://www.youtube.com/watch?v=-Oi6Ftvq_8c,Percepção dos pacientes após tratamento com Pembrolizumabe adjuvante | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
za5rC5RHO2g,31/05/2026,https://www.youtube.com/watch?v=za5rC5RHO2g,Pembrolizumabe no câncer de endométrio: novos dados de sobrevida | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
NADr8h09fy0,31/05/2026,https://www.youtube.com/watch?v=NADr8h09fy0,Os destaques desta edição do congresso | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
qr3F01eIMgo,31/05/2026,https://www.youtube.com/watch?v=qr3F01eIMgo,Tratamentos para câncer de bexiga com foco em preservação | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
EivPfN187Go,31/05/2026,https://www.youtube.com/watch?v=EivPfN187Go,Desescalonamento da quimioterapia e teste genômico no câncer de mama inicial | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
XK0OrQvx-ac,31/05/2026,https://www.youtube.com/watch?v=XK0OrQvx-ac,Sobrevida global sem esvaziamento axilar complementar | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
vbnMQA3cWt4,30/05/2026,https://www.youtube.com/watch?v=vbnMQA3cWt4,Principais novidades em ADCs | Einstein na Asco 2026,Videos,,einstein_Parte_3,Sucesso,2026-06-23
